ADS;ADS ~ Architecture Design Shymkent
Aiym Plus;Aiym Plus
Aksu Tas;"Aksu Tas ~ ТОО ""Аксу Тас"""
TechoService;Almaty TechoService
Almaz Group;Almaz Group
Alstom;Alstom
Antal;"Antal ~ ТОО ""Антал"""
AREVA;AREVA
Arystan;"Arystan ~ ТОО ""Степногорский трубный завод ""Арыстан"""
Asha-A;Asha-A
AsiaGradStroy;AsiaGradStroy ~ Азия Град Строй 
ASKON-7;ASKON-7
Aspan-Taraz;Aspan-Taraz
ASP-Eks;"ASP-Eks ~ ТОО ""АСП-Экс"""
ASPMK;ASPMK-519
Ast Studiya;"Ast Studiya ~ ТОО ""АСТ Студия"""
ASTANA SOLAR;ASTANA SOLAR ~ АСТАНА СОЛАР
ASUTP;ASUTP Service
Auhal;"Auhal ~ ТОО ""Аухал"""
Azia-Technology Group;"Azia-Technology Group ~ ТОО ""Азия -Технолоджи Групп"""
Barkut;"Barkut ~ ТОО ""БАРКУТ"""
BASF;BASF ~ The Chemical Company
BestFit;BestFit
BETAR ASIA;"BETAR ASIA ~ ТОО СП ""Бетар Азия"""
Betpak Dala;Betpak Dala
Bipek Auto;Bipek Auto
Bolashak Atyrau;Bolashak Atyrau
Braidd;Braidd
Bureau Veritas;Bureau Veritas
Business Forward;Business Forward Kazakhstan
Byelkamit;Byelkamit
Cabinet Merlin;"Cabinet Merlin ~ ТОО ""Кабинет Дэтюд Марк Мерлин"""
CAICOM;"CAICOM ~ ТОО ""Central Asia Industriel Company"""
Calder Projects;Calder Projects Kazakhstan
Central Asian Project;Central Asian Project ~ Центрально-Азиатская проектно-строительная компания
Central Asian Scientific and Project Institute Transneft;Central Asian Scientific and Project Institute Transneft
Charlatte;Charlatte
Cherdantsev;Cherdantsev
COMESSA;COMESSA
Copytech;"Copytech ~ ТОО  ""Копитек"""
CTK Asia;CTK Asia ~ ЦТК Азия
Dan-Stroi-Proekt;"Dan-Stroi-Proekt ~ ТОО ""Дан-Строй-Проект"""
Diana Plus;Diana Plus
Distrilab;Distrilab
Dominant A;"Dominant A ~ ТОО ""Доминант-А"""
Dostar New;Dostar New
Dzhumanov;Dzhumanov ~ ИП Джуманов М.К.
EATC;EATC
Echyden;"Echyden ~ ООО ""Экхайден"""
EDLI C;EDLI C
Ekibastuz GRES;Ekibastuz GRES
Electromontazh;"Electromontazh ~ АО ""Электромонтаж"""
ElectroService;ElectroService
ElectroSetProject;ElectroSetProject
ElektroMaster;ElektroMaster
EnergoInform;EnergoInform
Energy;"Energy ~ КазНИПИИТЭС ""Энергия"""
ENKO;ENKO
ENTEC PROJECT;ENTEC PROJECT ~ ТОО Инжиниринговая компания
Er Daut Kolikteri;Er Daut Kolikteri
Euroslot;Euroslot
FAN;FAN
Flowserve;Flowserve
F-Service;F-Service
GasOilDiagnostika;GasOilDiagnostika
GenAir;"GenAir LLP ~ ТОО ""GenAir"""
GeoArhProject;GeoArhProject ~ ГеоАрхПроект
GeoEngineering;GeoEngineering Kazakhstan
Geomatics;"Geomatics ~ ТОО ""Геоматикс"""
Gidrostal;Gidrostal
Gormontazhproject;"Gormontazhproject ~ ТОО ""Гормонтажпроект"""
Gornyak;Gornyak
Granat Service;Granat Service ~ Гранат Сервис
GRK;GRK ~ Горно-Рудная Компания
HAVECO Construction;HAVECO Construction
Hi-End Eng;"Hi-End Eng ~ ТОО ""Hi-End Engineering"""
IHT;IHT ~ Institute of High Technology
ILF Kazakhstan;"ILF Kazakhstan ~ ТОО ""ИЛФ Казахстан"""
Independent Expertise;Independent Expertise
InfraEnergo;InfraEnergo
Insight;"Insight ~ Инжиниринговая компания ""Инсайт"""
InterClima;"InterClima ~ ТОО ""ИнтерКлима"""
Intrelsys;Intrelsys
IP Krasnov;IP Krasnov
IRIMEX;IRIMEX
IT Complex;IT Complex
ITEKS;ITEKS SARL LTD
K4K;K4K ~ KATCO
Kablan;Kablan
Kadet Stroy;Kadet Stroy ~ Кадет Строй
Karatau;Karatau
Karlskrona;Karlskrona
KATCO;KATCO for management documents
KATEK;KATEK
KazAtomProm;KazAtomProm
KazDesign;KazDesign & Development Group Ltd
Kazdorproekt;Kazdorproekt ~ ТОО Шымкент Каздорпроект
KazFriaPlast;KazFriaPlast
KazMechanObr;KazMechanObr
KazPipe Element;KazPipe Element
Kazpost;"Kazpost ~АО ""Казпочта"""
KazProgressSouz;KazProgressSouz
KazSpecRemont;KazSpecRemont
KEGOC;KEGOC
KEMM;KEMM-2030
KIS-Orion;KIS-Orion
KITNG;"KITNG ~ ТОО ""Казахский институт транспорта нефти и газа"""
KOMEK-1;KOMEK-1 ~ KOMEK-1
KPSP;KPSP ~ Karaganda PromStroyProject
Kurylys Marketing;Kurylys Marketing
Legmach;Legmach
LOiP;LOiP ~ Лабораторное Оборудование и Приборы
Lyuko-2004;Lyuko-2004 ~ ТОО Люко-2004
Machinery Service;Machinery Service
MachZavod;MachZavod
Maier Service;Maier Service
MaketStroy;MaketStroy
Maran Eng.;Maran Engineering
MekhKolonna;"MekhKolonna ~ ТОО ""Механизированная колонна-49"""
Membrane Technologies;Membrane Technologies
MetalloIzdeliya;MetalloIzdeliya
MGE;MGE ~ MunaiGaz Engineering
Miras Eng.;Miras Engineering
MLC;MLC ~ Material Logistic Company
Moody Int.;Moody International
Morozova;Morozova
MPH CIFAL;MPH CIFAL
MSS;MSS ~ MontageSpetsStroy
Muhamediyarov;Muhamediyarov AE
Munaigas Eng;"Munaigas Eng ~ Научно-произв.фирма ""Мунайгаз Инж. Лтд"""
Nefteremmash;Nefteremmash LLP
NICBP;NICBP ~ Научно-Инженерный Центр безопасности в промышленности
Nomad;Nomad Media Group
NRG;NRG
Nurkan Industry;Nurkan Industry ~ Nurkan Industry Service LLP
Oil and Gas Center;"Oil and Gas Center ~ АО ""Инф.-Анал.Центр Нефти и Газа"" (ИАЦНГ)"
Oljas Birkolik;Oljas Birkolik
Olzha Stroitel;Olzha Stroitel ~ ТОО Олжа Строитель
ON Group;ON Group
OSK;OSK ~ Associated Development Corporation
PET;PET ~ Practical ElectroTechnika
PKO;PKO ~ Проектно-Конструкторская Организация
Plast Invest;Plast Invest
