AC;Accounting Department
DEM;Mining Direction
DIR;Direction
DP;Project Direction
DRRD;Data, Resources and Reserves Department
ERP;Environment, Radiation Protection Department
EXPLO;Exploration Department
FCD;Financial Controlling Department
FD;Financial Direction
FGS;Financial Group on Site
GD;General Direction
GEOS;Geosciences Direction
HRD;Human Resources Direction
HSERPSD;Health, Safety, Environment, Radiation Protection and Social Direction
LAD;Logging and Adjustment Department
LD;Legal Direction
LOGD;Logistic Department
MAIN;Maintenance Direction
NA;Direction without Department
OHS;Occupational Health and Safety Department 
PCD;Project Construction Department
PCS;Project Control and Service Department
PD;Plant Direction
PED;Project Execution Department
PPIS;Project Plant and Infrastructure Service
PPS;Project Piping Service
PR;Purchasing
PTD;Project Technical Department
PURD;Purchasing Direction
QUA;Quality Service
SSIT;Information Systems and Telecommunication Department
TAX;Tax Department
TD;Technical Direction
