A.020.00.00;A.020.00.00 ~ Люк обслуживания Ду=600 мм
A.025.00.00;A.025.00.00 ~ Бак расходный для серной кислоты
A.030.00.00;A.030.00.00 ~ Бак V=300 м3
A.041.00.00;A.041.00.00 ~ Грязеотстойник объемом 3,6 м3
A.042.00.00;A.042.00.00 ~ Маслоуловитель объемом 0,6 м3
A.083.00.00;A.083.00.00 ~ Колонна СНК-3М
A.086.00.00;A.086.00.00 ~ Сито контрольное
A.088.00.00;A.088.00.00 ~ Теплообменник-подогреватель
A.088.01.00;A.088.01.00 ~ Рама
A.088.02.00;A.088.02.00 ~ Элемент
A.088.03.00;A.088.03.00 ~ Колено
A.088.04.00;A.088.04.00 ~ Элемент
A.090.00.00;A.090.00.00 ~ Окно смотровое Ду 100 Ру 10
A.090.01.00;A.090.01.00 ~ Корпус
A.091.00.00;A.091.00.00 ~ Бак V=10 m3
A.091.01.00;A.091.01.00 ~ Бак
A.091.02.00;A.091.02.00 ~ Крышка
A.091.03.00;A.091.03.00 ~ Люк
A.092.00.00;A.092.00.00 ~ Чан контактный V=10 m3
A.092.01.00;A.092.01.00 ~ Бак
A.092.02.00;A.092.02.00 ~ Крышка
A.092.03.00;A.092.03.00 ~ Вал
A.092.04.00;A.092.04.00 ~ Рама
A.092.05.00;A.092.05.00 ~ Кронштейн
A.092.06.00;A.092.06.00 ~ Ограждение
A.092.07.00;A.092.07.00 ~ Труба аэрационная
A.092.08.00;A.092.08.00 ~ Люк
A.093.00.00;A.093.00.00 ~ Бак V=150 m3
A.093.01.00;A.093.01.00 ~ Люк обслуживания Ду 600
A.093.02.00;A.093.02.00 ~ Элемент крыши
A.094.00.00;A.094.00.00 ~ Бак V=100 m3
A.094.01.00;A.094.01.00 ~ Люк обслуживания Ду=600
A.094.02.00;A.094.02.00 ~ Элемент крыши
A.094.03.00;A.094.03.00 ~ Лестница
A.094.04.00;A.094.04.00 ~ Обечайка
A.095.00.00;A.095.00.00 ~ Реактор приготовления щелочи
A.095.01.00;A.095.01.00 ~ Крышка
A.095.02.00;A.095.02.00 ~ Клапан
A.095.03.00;A.095.03.00 ~ Решетка
A.095.04.00;A.095.04.00 ~ Труба
A.095.05.00;A.095.05.00 ~ Уголок
A.095.06.00;A.095.06.00 ~ Отвод
A.095.07.00;A.095.07.00 ~ Поплавок
A.095.08.00;A.095.08.00 ~ Корпус
A.095.09.00;A.095.09.00 ~ Стойка
A.096.00.00;A.096.00.00 ~ Осушитель воздуха
A.096.01.00;A.096.01.00 ~ Крышка
A.096.02.00;A.096.02.00 ~ Корпус
A.097.00.00;A.097.00.00 ~ Чан контактный V=10 m3
A.097.01.00;A.097.01.00 ~ Бак
A.097.02.00;A.097.02.00 ~ Крышка
A.098.00.00;A.098.00.00 ~ Бак объемом 40 м3
A.099.00.00;A.099.00.00 ~ Ванна для дезактивации мелкого оборудования
A.100.00.00;A.100.00.00 ~ Распределитель смолы
A.102.00.00;A.102.00.00 ~ Труба маточников денитрации
A.103.00.00;A.103.00.00 ~ Коллектор
A.104.00.00;A.104.00.00 ~ Опора трубы Ду 700
A.105.00.00;A.105.00.00 ~ Распределитель смолы
A.106.00.00;A.106.00.00 ~ Установка гидроэжектора
