0;0 ~ None
0.1;0.1 ~ Ограждение пилотного участка
0.2;0.2 ~ Опора освещения
0.3;0.3 ~ Металл опоры для кислотопр-да под трубы ДУ 108
0.4;0.4 ~ Мачта молнеотвода
1;TKDN - Turkuduk North | 1 ~ Офисное здание
10;10 ~ Дизельный генератор
11;11 ~ Площадка для мусоро-сборников
1-1;1-1 ~ Кислотопровод М2
12;12 ~ Водопроводная насосная станция (реконструкция)
13;13 ~ Станция очистки воды
14;14 ~ Канализационная насосная станция
15;15 ~ Станция очистки бытовых стоков
16;16 ~ Резервуар очищенных бытовых стоков
17;17 ~ Жироуловитель
18;18. Гидрав сети распр-я пром растворов к блокам TUS-14, TUS-15...TUS-19 на уч №2 Торткудук Южный мест Моинкум | 18 ~ Установка БИО-ЭЙКОС-200 | 18 ~ Канализационная насосная станция
19;19 ~ Модуль доочистки | 19. Гидрав сети распр-я пром растворов к блокам TNU-01 и TNU-02 на уч №2 Торткудук Северный мест Моинкум | 19 ~ Резервуар-усреднитель
1-S;1-S ~ Опоры под депульсаторы для сети М2
1-В1;1-В1 ~ Камера воздушного клапана по сети М2
1-Д1;1-Д1 ~ Камера сливного клапана по сети М2
1-К;1-К ~ Опоры под задвижки
1-К1;1-К1 ~ Камера распределения КМ2-1
1-К2;1-К2 ~ Камера распределения КМ2-2
1-К2А;1-К2А ~ Камера распределения КМ2-2А
1-К3;1-К3 ~ Камера распределения КМ2-3
1-К3В;1-К3В ~ Камера распределения КМ2-3В
2;TKDS - Turkuduk South | 2 ~ Общежитие для руководящего состава на 50 человек
20;20 ~ Резервуар V=10м3
2-0;2-0 ~ Площадка 2
21;21. Строительство трубопроводов распр-я пром растворов на ГТП-1 (MSU-29, MSU-31, MSU-33, MSU-35, MSU-37) уч №1 Южный Моинкум | 21 ~ Иловые карты | 21 ~ Площадка с навесом для складирования обезвоженного осадка
2-1;2-1 ~ Цех переработки продуктивных растворов (ЦППР) (реконструкция) | 2-1 ~ Цех переработки продуктивных растворов
2-1,70;2-1,70 ~ Площадка 2. ЦППР (Реконструкция) | 2-1,70 ~ ЦППР (Реконструкция). Отделение охлаждения.
2-10;2-10 ~ Емкость ПР 1000м3
2-11;2-11 ~ Кернохранилище
2-12;2-12 ~ насосная станция-хозяйственно-питьевая, производственно-противопожарная
2-13;2-13 ~ Гараж на 8 автомобилей с электромеханической мастрерской | 2-13 ~ Резервуары тех-питьевой воды
2-14;2-14 ~ Склад аммиачной воды | 2-14 ~ Павильон над скважиной
2-15;2-15 ~ Очистные ТЗП | 2-15 ~ Станция обессоливания
2-16;2-16 ~ Пункт временного хранения НРО
2-17;2-17 ~ Пункт хранения металлолома
2-18;2-18 ~ Открытый склад
2-18.1;2-18.1 ~ Ангар
2-18.2;2-18.2 ~ Ангар
2-18.3;2-18.3 ~ Ангар
2-19;2-19 ~ Операторная ТЗП | 2-19 ~ ГGП 110-13-10
22;22 ~ Поля фильтрации | 22. Система ливневой канализации на участках Торткудук Южный (участок №2) меторождения Моинкум - Storm sewage system at TKDS
2-2;2-2 ~ Склад серной кислоты 2X300m3 | 2-2 ~ Склад серной кислоты
2-2,3;2-2,3 ~ Склад серной кислоты 2*300 м3. Насосная склада кислоты.
2-20;2-20 ~ Пункт захоронения твердых бытовых отходов
